,objectid,cod_topo,fraccao,telefone,url,name,descricao,cod_gis,cod_freg,cod_sgr,n_ordem,data_reg,user_reg,n_policia,cantina,x,y
0,1,TREQU0,,225374679, ,Escola EB 2/3 - Viso,sede do agrupamento escolar do Viso (a rua de acesso directo à escola ainda não tem designação),11170300001,11,1703,00001,1245628800000,rafaeldias,s/n,,-8.638903426740166,41.17828415102688
1,2,RTELH0,,228327182, ,Escola EB 2/3 - Pêro Vaz de Caminha,sede do agrupamento escolar do Amial,10170300001,10,1703,00001,1245628800000,rafaeldias,103,,-8.615271077323749,41.17726047833157
2,3,RALES0,,225091008,www.geocities.com/CollegePark/Union/6558,Escola EB 2/3 - Paranhos,sede do agrupamento escolar de Eugénio de Andrade,10170300002,10,1703,00002,1245628800000,rafaeldias,s/n,,-8.60165069639281,41.17057473596645
3,4,TPREL0,,228348620, ,Escola EB 2/3 - Maria Lamas,sede do agrupamento escolar de Maria Lamas,11170300002,11,1703,00002,1245628800000,rafaeldias,4,,-8.633486762423106,41.17062526009484
4,5,RCERV0,,226002032, ,Escola EB 2/3 - Irene Lisboa,sede do agrupamento escolar de Irene Lisboa,04170300001,04,1703,00001,1245628800000,rafaeldias,532,,-8.61248854177887,41.160918348275054
5,6,RPACR1,,225420540,www.eb23-areosa.rcts.pt,Escola EB 2/3 - Areosa,sede do agrupamento escolar da Areosa,10170300003,10,1703,00003,1245628800000,rafaeldias,s/n,,-8.589750877658648,41.1760299091978
6,7,RALEG1,,222009671,www.eb23-augusto-gil.rcts.pt,Escola EB 2/3 - Augusto Gil,sede do agrupamento escolar de Augusto Gil,12170300001,12,1703,00001,1245628800000,rafaeldias,351,,-8.60415852228956,41.152980155692894
7,8,RDJAM0,,225366171, ,Escola EB 2/3 - Cerco,sede do agrupamento escolar de Cerco,03170300001,03,1703,00001,1245628800000,rafaeldias,s/n,,-8.569214713496615,41.16330733523576
8,9,RDSAV0,,228348620, ,Escola EB 2/3 - Ramalho Ortigão,sede do agrupamento escolar  de Ramalho Ortigão,03170300002,03,1703,00002,1245628800000,rafaeldias,72,,-8.589354121412665,41.15185172343462
9,10,PGALI0,,226002032, ,Escola EB 2/3 - Gomes Teixeira,sede do agrupamento escolar de Gomes Terixeira,07170300001,07,1703,00001,1245628800000,rafaeldias,44,,-8.6273465040264,41.15291191283574
10,11,RRAUZ0,,226107655,www.eb23-aldoar.rcts.pt,Escola EB 2/3 - Manuel de Oliveira,sede do agrupamento escolar de Manuel de Oliveira,01170300001,01,1703,00001,1245628800000,rafaeldias,134,,-8.666576686403245,41.168624224884226
11,12,RSFXA0,,226180171,www.eb23-francisco-torrinha.rcts.pt,Escola EB 2/3 - Francisco Torrinha,sede do agrupamento escolar de Francisco Torrinha,05170300001,05,1703,00001,1245628800000,rafaeldias,64,,-8.67178587425785,41.156863719096
12,13,RACAR1,,225193180, ,Escola EB 2/3 - Dr. Augusto César Pires de Lima,sede do agrupamento escolar do Dr. Augusto César Pires de Lima,02170300001,02,1703,00001,1245628800000,rafaeldias,290,,-8.592780371908562,41.14879161923822
13,14,RSACO0,,225507902,www.eb23-nicolau-nasoni.rcts.pt,Escola EB 2/3 - Nicolau Nasoni,sede do agrupamento escolar das Antas,03170300003,03,1703,00003,1245628800000,rafaeldias,s/n,,-8.580269590226886,41.17201058123397
14,15,RPACR0,,226185074,www.eb23-dr-leonardo-coimbra.rcts.pt,Escola EB 2/3 - Dr. Leonardo de Coimbra Filho,sede do agrupamento escolar de Leonardo Coimbra Filho,06170300001,06,1703,00001,1245628800000,rafaeldias,s/n,,-8.654606381697736,41.157572533032884
15,16,CVIRT0,,222030623, ,Escola EB 2/3 - Miragaia,sede do agrupamento escolar de Miragaia,08170300001,08,1703,00001,1245628800000,rafaeldias,s/n,,-8.619165535455853,41.14372065056945
