,objectid,cod_topo,fraccao,telefone,url,name,descricao,cod_gis,cod_freg,cod_sgr,n_ordem,data_reg,user_reg,n_policia,x,y
0,1,RDBOT0,,226196200,www.porto.ucp.pt,"UCP - Fac. Direito, Fac. Ecónomia e Gestão, Fac. Teologia e Escola das Artes",Universidade Católica Portuguesa (Núcleo da Foz) - Centro Regional do Porto,05170100001,05,1701,00001,1245628800000,rafaeldias,1327,-8.672093118873057,41.152746112363396
1,2,RAROD0,,226198580,www.ag.esenf.pt,Escola Superior de Enfermagem D. Ana Guedes, ,01170100001,01,1701,00001,1245628800000,rafaeldias,S/N,-8.66313937635884,41.177446450527015
2,3,RCALE0,,226094995,www.up.pt,UP - Círculo Universitário do Porto, ,07170100001,07,1701,00001,1245628800000,rafaeldias,877,-8.63881202189986,41.15273292407043
3,4,RCALE0,,226079700,www.fpce.up.pt,UP - Psicologia e das Ciências de Educação, ,07170100002,07,1701,00002,1245628800000,rafaeldias,1055,-8.640888181772258,41.152686959892506
4,5,RCALE0,,226078830,www.fc.up.pt,UP - Faculdade de Ciências - Centro Informática e Materiais da Universidade do Porto,(Dep. de Ciências de Computadores),07170100004,07,1701,00004,1245628800000,rafaeldias,823,-8.63895828597828,41.15205592814373
5,6,RCALE0,,226074900,www.fc.up.pt,UP - Instituto de Biologia Molecular e Celular, ,07170100005,07,1701,00005,1245628800000,rafaeldias,823,-8.637934294212098,41.152485726542025
6,7,RCALE0,,226082703,www.fc.up.pt,"UP - Faculdade de Ciências (Dep. Física, Matemáticas, Química)","(telefs: Dep.Física-226082703,Dep.Mat.Aplicadas-220100802,Dep.Quimica-226082953)",07170100006,07,1701,00006,1245628800000,rafaeldias,687,-8.636026285710003,41.15183361416315
7,8,VPANO0,,226057100,www.arq.up.pt,UP -Faculade de Arquitectura, ,07170100007,07,1701,00007,1245628800000,rafaeldias,S/N,-8.636391560261433,41.15024589300098
8,9,VPECA0,,226077100,www.letras.up.pt,UP - Faculdade de Letras, ,07170100008,07,1701,00008,1245628800000,rafaeldias,S/N,-8.632724934252806,41.15095366323762
9,10,RGJUN0,,226076830,www.esesantamaria.ispgaya.pt,Escola Superior de Educação de Santa Maria (2), ,07170100010,07,1701,00010,1245628800000,rafaeldias,597,-8.63641056853228,41.15831117448687
10,11,VPANO0,,226174440,www.cdup.up.pt,UP - Centro Desportivo Universitário - CDUP, ,06170100001,06,1701,00001,1245628800000,rafaeldias,S/N,-8.642052552346637,41.15067126866174
11,12,RCALE0,,226098825,www.isag.pt,Instituto Superior de Administração e Gestão - ISAG, ,06170100002,06,1701,00002,1245628800000,rafaeldias,1376,-8.644491518593082,41.154701801997064
12,13,RCALE0,,226002153,www.fc.up.pt,UP - Faculdade de Ciências - Dep. Botânica e Jardim Botânico, ,06170100003,06,1701,00003,1245628800000,rafaeldias,1191,-8.642585999671594,41.15360767362335
13,14,ABOAV0,,226172136,www.pwp.netcabo.pt/esj/,Escola Superior de Jornalismo CRL, ,06170100004,06,1701,00004,1245628800000,rafaeldias,3067,-8.65976997661653,41.16264490751672
14,15,RDMSE0,,226073500,www.up.pt,UP - Reitoria e Serviços Centrais, ,08170100001,08,1701,00001,1245628800000,rafaeldias,S/N,-8.623942528123013,41.147674499153524
15,16,PVIRT0,,223394820,www.e-art-prof-arvore.rcts.pt,Escola Artística e Profissional Árvore - Cooperativa de Ensino Polivalente e Artístico CRL, ,08170100002,08,1701,00002,1245628800000,rafaeldias,14,-8.61845009676505,41.14485810676952
16,17,RPHIS0,,228349850,www.esenfic.com,Escola Superior de Enfermagem da Imaculada Conceição, ,11170100001,11,1701,00001,1245628800000,rafaeldias,923,-8.633131937908079,41.16466566390981
