,objectid,codigo,coord_x,coord_y,tipo,n_policia,observacao,fotos,morada,concelho,freguesia,zonam_and,descricao,name,cod_gis,cod_topo,cod_freg,n_ordem,cod_sgr,x,y
0,5039,ADA3,159736.51355773,466951.16212523,PARAGEM SEM ABRIGO,603, ,D:\SIG\FOTOS\ADA 3.TIF,RUA VALE FORMOSO,PORTO,PARANHOS,C1,ARCA D ÁGUA,Arca d Água,10011300157,RVFOR0,10,00157,0113,-8.612939239762506,41.170720564495944
1,5040,ADA4,159749.59023717,466958.27827048,PARAGEM SEM ABRIGO,616, ,D:\SIG\FOTOS\ADA 4.TIF,RUA VALE FORMOSO,PORTO,PARANHOS,C1,ARCA D ÁGUA,Arca d Água,10011300158,RVFOR0,10,00158,0113,-8.612783890200317,41.17078529010155
2,5041,ADNV1,166920.66937181,473448.56956722,PARAGEM SEM ABRIGO, , ,D:\SIG\FOTOS\ADNV1.TIF,RUA SAO VICENTE,VALONGO,ALFENA,N16,ALDEIA NOVA,Aldeia Nova,,,,,,-8.527686248611827,41.229548782356716
3,5042,ADNV2,166899.09999597,473438.41625744,PARAGEM COM ABRIGO J, , ,D:\SIG\FOTOS\ADNV2.TIF,RUA SAO VICENTE,VALONGO,ALFENA,N16,ALDEIA NOVA,Aldeia Nova,,,,,,-8.52794294586094,41.229456478165694
4,5043,AEC1,158450.38250466,463134.72501091,postalete, , ,D:\SIG\FOTOS\AEC 1.TIF,RUA REI RAMIRO,VILA NOVA DE GAIA,VILA NOVA DE GAIA (SANTA MARINHA),S8,ALAM. EMPRESA,Alam. Empresa,,,,,,-8.628005125059298,41.13629248375041
5,5044,AEC2,158467.48621686,463120.10209112,postalete, , ,D:\SIG\FOTOS\AEC 2.TIF,RUA REI RAMIRO,VILA NOVA DE GAIA,VILA NOVA DE GAIA (SANTA MARINHA),S8,ALAM.EMPRESA,Alam. Empresa,,,,,,-8.62780043438675,41.13616169737584
6,5045,AF1,170568.80295687,468339.65572782,postalete, , ,D:\SIG\FOTOS\AF  1.TIF,RUA FONSECA DIAS,VALONGO,VALONGO,C10,ÁGUAS FERREAS,Águas Ferreas,,,,,,-8.483928711534784,41.18368932586921
7,5046,AF2,170481.86999895,468408.2900002,postalete, , ,D:\SIG\FOTOS\AF  2.TIF,RUA FONSECA DIAS,VALONGO,VALONGO,C10,ÁGUAS FERREAS,Águas Ferreas,,,,,,-8.484968145092665,41.184304138651406
8,5047,MMAI1,161838.55584862,468200.52917533,postalete, , ,D:\SIG\FOTOS\AFC.TIF,RUA GONCALO MENDES DA MAIA,MAIA,PEDROUÇOS,C9,G. MENDES DA MAIA,G. Mendes da Maia,,,,,,-8.587969728623028,41.18207180222576
9,5048,AFHQ3,153835.84910842,468085.75109154,postalete,837, ,D:\SIG\FOTOS\AFHQ3.TIF,AVENIDA REPUBLICA,MATOSINHOS,MATOSINHOS,C3,AFONSO HENRIQUES,Afonso Henriques,,,,,,-8.683335653532934,41.1806202836247
10,5049,AFHQ4,153850.58646645,468064.55061477,postalete,834, ,D:\SIG\FOTOS\AFHQ4.TIF,AVENIDA REPUBLICA,MATOSINHOS,MATOSINHOS,C3,AFONSO HENRIQUES,Afonso Henriques,,,,,,-8.683158418406185,41.180430242032585
11,5050,FMAG,161959.20667374,466715.12583951,com painel abrigo, , ,D:\SIG\FOTOS\AFM.TIF,RUA CONTUMIL,PORTO,CAMPANHÃ,C6,FERNÃO MAGALHÃES,Fernão Magalhães,03011300054,RCONT0,03,00054,0113,-8.586439395227151,41.16870296578692
12,5051,RMAR1,156226.76395293,459236.02042042,postalete, , ,D:\SIG\FOTOS\AG  1.TIF,RUA MARINHA,VILA NOVA DE GAIA,MADALENA,S2,R. DA MARINHA,R. da Marinha,,,,,,-8.654208554319435,41.10107137019751
13,5052,RMAR2,156238.61645692,459224.23353584,abrigo, , ,D:\SIG\FOTOS\AG  2.TIF,RUA MARINHA,VILA NOVA DE GAIA,MADALENA,S2,R. DA MARINHA,R. da Marinha,,,,,,-8.654066630810824,41.10096588152385
14,5053,AGR1,161308.57641315,471605.20881711,postalete, , ,D:\SIG\FOTOS\AGA 1.TIF,RUA DA AGRA,MAIA,MILHEIRÓS,C9,AGRA,Agra,,,,,,-8.594501635147234,41.212702143955774
15,5054,AGR2,161301.62165397,471577.02729649,com painel abrigo, , ,D:\SIG\FOTOS\AGA 2.TIF,RUA DA AGRA,MAIA,MILHEIRÓS,C9,AGRA,Agra,,,,,,-8.594582771850474,41.212448066190845
16,5055,AGAS1,167128.18392035,468824.87680581,postalete, , ,D:\SIG\FOTOS\AGAS1.TIF,RUA D. JOAO DE CASTRO,GONDOMAR,FÂNZERES,C8,AGOSTINHO A. SOUSA,Agostinho A. Sousa,,,,,,-8.524961557187071,41.187925599869246
17,5056,AGAS2,167126.04171663,468749.58984946,postalete, , ,D:\SIG\FOTOS\AGAS2.TIF,RUA D. JOAO DE CASTRO,GONDOMAR,FÂNZERES,C8,AGOSTINHO A. SOUSA,Agostinho A. Sousa,,,,,,-8.524983029634404,41.18724762796601
18,5057,AGM1,157928.20330921,465649.96369219,PARAGEM COM ABRIGO J, ,1,D:\SIG\FOTOS\AGM 1.TIF,AVENIDA BOAVISTA,PORTO,CEDOFEITA,C1,AGRAMONTE,Agramonte,04011300002,ABOAV0,04,00002,0113,-8.634397097892219,41.15891253142725
19,5058,AGM2,157921.77683999,465624.38304948,PARAGEM COM ABRIGO J, ,1,D:\SIG\FOTOS\AGM 2.TIF,AVENIDA BOAVISTA,PORTO,MASSARELOS,C1,AGRAMONTE,Agramonte,07011300001,ABOAV0,07,00001,0113,-8.634471900065133,41.158681870581155
