	objectid	descricao	cod_gis	x	y
0	1	Espaço Verde com Valor Patrimonial	03530500004	-8.584516129247422	41.165588003781764
1	2	Espaço Verde com Valor Patrimonial	12530500002	-8.602622234138309	41.14597535466102
2	3	Espaço Verde com Valor Patrimonial	07530500001	-8.627465137742648	41.148828245596974
3	4	Espaço Verde com Valor Patrimonial	07530500002	-8.635138220913838	41.15029867095434
4	5	Espaço Verde com Valor Patrimonial	07530500004	-8.628266393207833	41.148068682009125
5	6	Espaço Verde com Valor Patrimonial	09530500001	-8.68071237752092	41.15953556750853
6	7	Espaço Verde com Valor Patrimonial	03530500005	-8.571421798561762	41.14362290033064
7	8	Espaço Verde com Valor Patrimonial	04530500001	-8.618182882111206	41.15666598497474
8	9	Espaço Verde com Valor Patrimonial	04530500002	-8.61938038697675	41.15393578239713
9	10	Espaço Verde com Valor Patrimonial	02530500001	-8.603495601083264	41.16029813246595
