,objectid,name,cod_gis,x,y
0,1,Entulheira,3430300001,-8.57730766099985,41.1772259347024
1,2,Entulheira,3430300002,-8.57427450374964,41.175653715455
2,3,Entulheira,3430300003,-8.58160456659593,41.1754479762635
3,4,Entulheira,3430300004,-8.57629832948148,41.1730860021703
4,5,Entulheira,5430300001,-8.67312384850759,41.1560836247015
5,6,Entulheira,3430300005,-8.57248866199028,41.1757094830818
6,7,Entulheira,3430300006,-8.57160627317343,41.174823811105
7,17,Entulheira aterrada,3430300007,-8.67236479951355,41.158349322432
8,18,Entulheira aterrada,5430300002,-8.57285424579279,41.176712136684
9,19,Entulheira aterrada,5430300003,-8.682175416669,41.170526402121
10,20,Entulheira aterrada,5430300004,-8.58688588641262,41.1550311553271
11,21,Entulheira aterrada,9430300001,-8.65818865721221,41.153258415186
12,22,Entulheira aterrada,6430300001,-8.57228299001523,41.1449802105431
13,23,Entulheira aterrada,6430300002,-8.66498538401476,41.1684119451591
14,24,Lixeira aterrada,11430300001,-8.66367357632818,41.1683975906619
15,25,Lixeira aterrada,3430300008,-8.60116494013175,41.1747791987579
16,26,Lixeira aterrada,5430300005,-8.64815416211271,41.1677965516555
17,27,Deposito de lixo misto aterrado,3430300009,-8.67667051969582,41.1642424877081
18,28,Deposito de lixo misto aterrado,9430300002,-8.61155256539711,41.1581215581219
19,29,Deposito de lixo misto aterrado,3430300011,-8.63341982056663,41.1557566230894
20,30,Deposito de lixo misto aterrado,6430300004,-8.64675302573107,41.1561235137374
21,31,Deposito de lixo misto aterrado,3430300012,-8.573395031756,41.1551542364172
22,32,Deposito de lixo misto aterrado,1430300002,-8.67540546514584,41.1544600777918
23,33,Deposito de lixo misto aterrado,1430300003,-8.59389926614987,41.1519728755026
24,34,Cemiterios,10430300001,-8.59411335268566,41.143639249714
25,35,Cemiterios,11430300002,-8.66361515366684,41.1672429419008
