	objectid	name	cod_gis	x	y
0	1	Mercado da Foz	05070300001	-8.674275767779333	41.154636983998316
1	2	Mercado do Bom Sucesso	07070300001	-8.629206711565038	41.15577741140609
2	3	Mercado do Bolhão	12070300001	-8.607100916125038	41.14936933571369
3	4	Mercado da Praça da Alegria	02070300001	-8.599646059730356	41.144298017464486
4	5	Mercado de S. Sebastião	14070300001	-8.611213782616701	41.143817320242064
5	6	Mercado das Campinas	11070300001	-8.65552429204053	41.17104525170216
6	7	Mercado do Covelo	10070300001	-8.608424701309097	41.166560491291996
7	8	Mercado do Aleixo	06070300001	-8.647279754030704	41.150576094222124
8	9	Feira dos Passarinhos	08070300001	-8.617744381141758	41.146082424182495
9	10	Feira Antiguidades e Velharias	02070300002	-8.5928369211606	41.16220187222877
10	11	Feira de Numismática, Filatelia e Coleccionismo	02070300003	-8.592856509326356	41.16241766125187
11	12	Artesanato Santa Catarina	12070300002	-8.611366675549638	41.14658224145738
12	13	Mercado do Viso	11070300002	-8.64549648586799	41.177633248194574
