	objectid	name	cod_gis	x	y
0	1	Igreja de Jesus Cristo dos Santos dos Últimos Dias	02050100014	-8.600058342088392	41.164850478226846
1	2	Casa de Oração para Todos os Povos	07050100007	-8.630372437219032	41.15541654872147
2	3	Igreja de Jesus Cristo dos Santos dos Últimos Dias	15050100009	-8.613759393584617	41.14817107601119
3	4	Capela de Santa Anastácia	05050100002	-8.67294989271193	41.14985728522916
4	5	"Igreja de S. Nicolau
"	13050100002	-8.615260589710859	41.14059500583726
5	6	Igreja de Ramalde (antiga)	11050100002	-8.647977143450442	41.16831941116132
6	7	Capela do Pinheiro	04050100008	-8.612858733014729	41.15021406812849
7	8	Igreja de Jesus Cristo dos Santos dos Últimos Dias	10050100009	-8.595849397900704	41.16374750860055
8	9	"Igreja do Convento de S. Bento da Vitória (Igreja dos Beneditinos)
"	15050100007	-8.616011679565966	41.14419519891752
9	10	"Igreja de Santo Ildefonso
"	12050100003	-8.606560893664032	41.14619396398504
10	11	Capela do Barão de Nova Sintra (Colégio Barão de Nova Sintra)	02050100009	-8.59173215457898	41.14596619160909
11	12	Capela Nossa Senhora da Paz	03050100010	-8.575227370702333	41.16538726460039
12	13	"Igreja da Venerável Ordem da Santíssima Trindade
"	12050100002	-8.610294720524134	41.15106980993542
13	14	Capela de Fradelos	12050100005	-8.606299170378692	41.15234419514966
14	15	Igreja de S. Miguel de Nevogilde	09050100001	-8.676930198640106	41.164193232175336
15	16	Capela de Nossa Senhora da Luz	09050100002	-8.680838371468722	41.157750242550236
16	17	"Igreja S. João Baptista da Foz
"	05050100001	-8.668679322245968	41.14890264022216
17	18	Capela da Nossa Senhora da Conceição	05050100003	-8.668711518694614	41.151629715964354
18	19	Capela da Senhora da Lapa ou dos Mareantes	05050100004	-8.666732504457459	41.14752775487505
19	20	Capela-Farol de S. Miguel-o-Anjo	05050100005	-8.666687570278684	41.14709011931059
20	21	Igreja do Forte de S. João Baptista da Foz do Douro	05050100006	-8.674290245608699	41.1489911972978
21	22	Capela de S. Roque da Lameira	03050100001	-8.578704825088634	41.16007598036441
22	23	"Igreja ""Stella Maris"" (Igreja dos Carmelitas Descalços)"	05050100007	-8.679167998980564	41.15575403689636
23	24	Igreja de Cristo Rei (Igreja do Convento dos Dominicanos)	01050100001	-8.66587993468326	41.15982941050754
24	25	Igreja Nova de Aldoar	01050100002	-8.667280493399552	41.16999443874025
25	26	Igreja de S. Martinho de Aldoar	01050100003	-8.670543772036558	41.17067471751947
26	27	"Igreja S.Francisco
"	13050100001	-8.615588265092535	41.14098230058165
27	28	"Igreja do Convento S. João Novo
"	13050100003	-8.617707116302523	41.14201257562539
28	29	"Igreja S.Lourenço (Igreja dos Grilos)
"	13050100004	-8.612718052025494	41.14215761782413
29	30	Igreja da Nossa Senhora do Patrocínio	13050100005	-8.610191656309652	41.141329112741694
30	31	Capela de Nossa Senhora do Ó	13050100006	-8.614656822490858	41.140491512792515
31	32	Igreja dos Terceiros de S. Francisco	13050100007	-8.61621323585249	41.14127983941857
32	33	Capela da Nossa Senhora da Assunção e Boa Morte (Capela da Lada)	13050100008	-8.61043554987737	41.14089955508031
33	34	"Igreja do Corpo Santo de Massarelos
"	07050100001	-8.630509875481856	41.14594376930686
34	35	Igreja do Vilar	07050100002	-8.628001835171515	41.15009905668621
35	36	Capela de Carlos Alberto (Palácio de Cristal)	07050100004	-8.626908086246546	41.14601219075646
