,objectid,cod_topo,fraccao,telefone,url,name,descricao,cod_gis,cod_freg,cod_sgr,n_ordem,data_reg,user_reg,n_policia,horarios,x,y
0,1,RCALE0,,226092396, ,Restaurante Gambamar,Capacidade para 114 pessoas; Especialidades da Casa: Churrascos vários; Peixe e marisco,07080100003,07,0801,00003,1245628800000,rafaeldias,110,Aberto das 12:00 ás 2:00,-8.629099645120991,41.15259974131916
1,2,RALMA0,,222059340, ,Restaurante Chien Qui Fume,Capacidade para 40 pessoas; Especialidades da Casa: Cordon Blue; Lombinhos com molho três pimentas; Lombinhos à moda Zurique,04080100003,04,0801,00003,1245628800000,rafaeldias,35,Aberto das 12:00 ás14:00 e das 19:00 ás 21:45 encerra ao Domingo,-8.612240671144539,41.15062262112701
2,3,AVPER0,,222008915, ,Restaurante Chinês,Especialidades da Casa: Cozinha Chinesa; Camarão na prata,14080100001,14,0801,00001,1245628800000,rafaeldias,38,Aberto das 12:00 ás14:30 e das 19:30 ás 23:00,-8.610110957876755,41.14250867101609
3,4,RBFOR0,,223323334, ,Restaurante O Barão,Capacidade para 90 pessoas; Especialidades da Casa: Cozido à portuguesa,04080100009,04,0801,00009,1245628800000,rafaeldias,643,Aberto  das 10:00 ás 15:30 e das 19:00 ás 23:00 encerra ao Sábado,-8.619565023296047,41.15657188265542
4,5,AEQUE0,,225020089, ,Restaurante Lider,Capacidade para 90 pessoas; Especialidades da Casa: Cozinha Francesa; Cozinha Inglesa,02080100015,02,0801,00015,1245628800000,rafaeldias,126,Aberto das 12:00 ás 15:30 e das 19:00 ás 24:00,-8.5948618672457,41.16307326797453
5,6,ABOAV0,,226066514, ,Restaurante Mc Donalds,Especialidades da Casa: Hamburgers,06080100003,06,0801,00003,1245628800000,rafaeldias,1745,Aberto  das 10:30 ás 24:00,-8.64426976694157,41.1602839152072
6,7,PLIBE0,,222088016, ,Restaurante Mc Donalds,Especialidades da Casa: Hamburgers,12080100006,12,0801,00006,1245628800000,rafaeldias,126,Aberto  das 10:30 ás 24:00,-8.610924321694089,41.146666803686514
7,8,PCALB0,,222005639, ,Restaurante Romão,Capacidade para 200 pessoas; Especialidades da Casa: Polvo; Filetes de pescada; Lampreia à bordalesa; Arroz de lampreia,15080100006,15,0801,00006,1245628800000,rafaeldias,100,Aberto  das 11:30 ás 15:30 e das 18:30 ás 23:00,-8.61579133521093,41.148066435982535
8,9,AFMAG0,,225100919, ,Restaurante Scala,Capacidade para 80 pessoas; Especialidades da Casa: Tripas à moda do Porto; Cabrito assado no forno,02080100011,02,0801,00011,1245628800000,rafaeldias,1273,Aberto  das 12:00 ás 02:00,-8.592316472051088,41.16072591845221
9,10,RBONJ0,,222007832, ,Restaurante Sopa Seca,Especialidades da Casa: Francesinhas; Sopa seca,12080100017,12,0801,00017,1245628800000,rafaeldias,450,Aberto  das 12:00 ás 13:00 e das 19:00 ás 23:00 encerra ao Domingo,-8.609299937079713,41.150216444799014
10,11,RBONF0,,225106700, ,Restaurante Suribachi,Capacidade para 52 pessoas; Especialidades da Casa: Cozinha vegetariana e macrobiótica,02080100012,02,0801,00012,1245628800000,rafaeldias,136,Aberto  das 12:00 ás 14:30 e das 19:00 ás 22:00,-8.59727947895051,41.148987073427065
11,12,RPMAN0,,222005886, ,Restaurante Tripeiro,Capacidade para 200 pessoas; Especialidades da Casa: Tripas à moda do Porto,12080100015,12,0801,00015,1245628800000,rafaeldias,195,Aberto  das 12:00 ás 15:00  e das 19:00 ás 22:00 encerra ao Domingo,-8.605124010852123,41.14673511710058
12,13,RMADE0,,222005624, ,Restaurante Traçadinho,Capacidade para 50pessoas;,12080100022,12,0801,00022,1245628800000,rafaeldias,186,Aberto  das 12:00 ás 15:00  e das 19:30 ás 22:00 encerra ao Domingo,-8.609651721063562,41.14602111541189
