	objectid	name	cod_gis	x	y
0	1	Teatro da Vilarinha	01060200001	-8.673950260323906	41.17279152512066
1	2	Teatro de Belomonte	13060200001	-8.616585848483005	41.14248891812939
2	3	Teatro do Campo Alegre	07060200001	-8.639612619478354	41.150811349091605
3	4	Teatro Carlos Alberto - Teca	15060200001	-8.615202892360855	41.14912671855951
4	5	Tzero.com.palco/Espaço Art'imagem	15060200002	-8.613130069084649	41.14960782254813
5	6	Teatro Helena Sá e Costa	12060200001	-8.603427994137736	41.15433656296443
6	7	Rivoli - Teatro Municipal	12060200002	-8.609749926835004	41.14779917323913
7	8	Teatro Sá da Bandeira/Sala Estudio Latino	12060200003	-8.608869032463623	41.14685008630923
8	9	Teatro Nacional de S. João - TNSJ	14060200001	-8.60750047637942	41.14464898692299
9	10	Balleteatro Auditório	10060200001	-8.61161241297078	41.17091424441866
