,objectid,cod_topo,n_policia,cp_4,cp_3,telf,url,mail,j_i,t_inst,agr,est,estat,carto_1000,cod_freg,planta,n_ordem,cod_sgr,cod_gis,foto,fax,data_reg,user_reg,n_eb1,n_prim,prop,cantina,descricao,fraccao,name,cod_giase,x,y
0,1,LPVAR0, ,4150,622,226171505,www.eb1-porto-n34.rcts.pt/,info@eb1-porto-n32.rcts.pt,N,EB1,Dr. Leonardo Coimbra Filho,Activo,Público,C5,06,PLANTA\CONDOMINHAS_PLANTA.pdf,00003,1702,06170200003,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvrnqrg8bx9b&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23022184&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,34,89,Municipal,0, ,,Condominhas,1312897,-8.654517789826967,41.15109105071595
1,2,RJRCA0, ,4150,434,226183554,www.eb1-porto-n46.rcts.pt/,"info@eb1-porto-n46.rcts.pt
",S,EB1/JI,Dr. Leonardo Coimbra Filho,Activo,Público,D4,06,PLANTA\PASTELEIRA_PLANTA.pdf,00004,1702,06170200004,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvs6zrg8bgd9&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23022177&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,46,115,Municipal,0,Bairro Marechal Gomes da Costa,,Pasteleira,1312023,-8.660382371998741,41.15479872870223
2,3,RALEI1, ,4150,105,0, , ,S,EB1/JI,Dr. Leonardo Coimbra Filho,Desactivo,Público,C6,06,PLANTA\AINDA_NAO_DISPONIVEL.pdf,00007,1702,06170200007,www.bing.com/maps/default.aspx?v=2&FORM=LMLTCP&cp=qvrnsmg8cg5y&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23022260&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,56,150,Municipal,0,Bairro do Aleixo,,Aleixo,1312613,-8.647084860003782,41.15113765334961
3,4,RESPO0, ,4150,301,226171451,www.leonardocoimbra.net/,ji.estoril@eb23-dr-leonardo-coimbra.rcts.pt,S,JI,Dr. Leonardo Coimbra Filho,Activo,Público,C5,06,PLANTA\AINDA_NAO_DISPONIVEL.pdf,00008,1702,06170200008,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvrr5zg8byjp&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23022251&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,0,0, ,0, ,,Lordelo do Ouro,1312365,-8.654080762597477,41.15151490467868
4,5,RALCA0,322,4350,23,225020208, , ,N,EB1,Antas,Activo,Público,G12,03,PLANTA\MONTEBELLO_PLANTA.pdf,00001,1702,03170200001,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvvphcg8j500&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23032321&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,15,34,Municipal,0, ,,Montebello,1312594,-8.584446400522738,41.17122449990662
5,6,RANGO0, ,4100,58,226186971, , ,S,JI,Manoel de Oliveira,Activo,Público,G4,01,PLANTA\AINDA_NAO_DISPONIVEL.pdf,00002,1702,01170200002,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvvknng8bd3h&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23019861&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,0,0, ,0, ,,Aldoar,1312155,-8.66132008163784,41.170525595541974
6,7,RMACA0,14,4100,315,226184682, , ,N,EB1,Manoel de Oliveira,Activo,Público,G4,01,PLANTA\FONTE_DA_MOURA_PLANTA.pdf,00003,1702,01170200003,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvvkd2g8bbdn&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23019937&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,52,134,Municipal,0,Bairro da Fonte da Moura,,Fonte da Moura,1312731,-8.66205092893528,41.1704729165955
7,8,RVILA1,1150,4100,513,0, , ,N,EB1, ,Desactivo,Público,H3,01,PLANTA\AINDA_NAO_DISPONIVEL.pdf,00004,1702,01170200004,www.bing.com/maps/default.aspx?v=2&FORM=LMLTCP&cp=qvvppxg89nhx&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23019873&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,26,69,Municipal,0, ,,Escola EB1 nº 26,0,-8.671509963133849,41.17133633540339
8,9,RSMIG0,13,4050,560,0, , ,N,EB1, ,Desactivo,Público,A9,15,PLANTA\AINDA_NAO_DISPONIVEL.pdf,00003,1702,15170200003,www.bing.com/maps/default.aspx?v=2&FORM=LMLTCP&cp=qvqkd1g8fsvm&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23042859&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,0,43,Privada (Fernando Reis Lima),0, ,,Escola EB1 nº 19,0,-8.616215059442771,41.14323419686356
9,10,RMIOS0, ,0,0,228327650, , ,N,EB1,Amial,Activo,Público,I8,10,PLANTA\MIOSOTIS_PLANTA.pdf,00007,1702,10170200007,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvwg02g8ff6m&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23029178&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,18,41,Municipal,0,Bairro do Amial,,Miosótis,1312989,-8.62078339047139,41.17638909841599
