,objectid,cod_topo,fraccao,telefone,url,name,descricao,cod_gis,cod_freg,cod_sgr,n_ordem,data_reg,user_reg,n_policia,cantina,x,y
0,1,RPLEA0,,226198340,www.esec-garcia-orta.rcts.pt,Escola Secundária Garcia de Horta, ,01170400001,01,1704,00001,1245628800000,rafaeldias,6,,-8.669134483903864,41.162454196257514
1,2,ROPJA0,,226064689,www.esec-clara-resende.rcts.pt,Escola Secundária Clara de Resende,No ano lectivo 2003/2004 teve também 3º ciclo do E. Básico,11170400001,11,1704,00001,1245628800000,rafaeldias,239,,-8.644402738308177,41.16289450525121
2,3,ROPJA0,,226069563,www.esec-f-pereira-melo.rcts.pt,Escola Secundária Fontes Pereira de Melo,No ano lectivo 2003/2004 teve também 3º ciclo do E. Básico,11170400002,11,1704,00002,1245628800000,rafaeldias,s/n,,-8.644000423811988,41.164417573014894
3,4,RIDMA0,,226051110,www.esec-carolina-michaelis.rcts.pt,Escola Secundária Carolina Michaelis,No ano lectivo 2003/2004 teve também 3º ciclo do E. Básico,04170400001,04,1704,00001,1245628800000,rafaeldias,s/n,,-8.621992786835795,41.15956992945916
4,5,ACAMI0,,225371838,www.esec-alexandre-herculano.rcts.pt,Escola Secundária Alexandre Herculano,No ano lectivo 2003/2004 teve também 3º ciclo do E. Básico,02170400001,02,1704,00001,1245628800000,rafaeldias,s/n,,-8.594335205015634,41.148131061395866
5,6,RACIM0,,225072970,www.esec-antonio-nobre.rcts.pt,Escola Secundária António Nobre,No ano lectivo 2003/2004 teve também 3º ciclo do E. Básico,10170400001,10,1704,00001,1245628800000,rafaeldias,105,,-8.599911597634312,41.16772358575034
6,7,RASOU0,,225021773, ,Escola Secundária Aurélia de Sousa,No ano lectivo 2003/2004 teve também 3º ciclo do E. Básico,02170400002,02,1704,00002,1245628800000,rafaeldias,s/n,,-8.599564958698465,41.16031469565315
7,8,RCOVE0,,225072670,www.esec-filipa-vilhena.rcts.pt,Escola Secundária Filipa de Vilhena,No ano lectivo 2003/2004 teve também 3º ciclo do E. Básico,10170400002,10,1704,00002,1245628800000,rafaeldias,205,,-8.608406173420823,41.16614606763745
8,9,LASPI0,,226052860, ,Escola Secundária Infante D. Henrique,No ano lectivo 2003/2004 teve também 3º ciclo do E. Básico,07170400001,07,1704,00001,1245628800000,rafaeldias,s/n,,-8.625521375160535,41.15310443495356
9,10,PPNUN0,,226064829,www.esec-rodrigues-freitas.rcts,Escola Secundária Rodrigues de Freitas,No ano lectivo 2003/2004 teve também 3º ciclo do E. Básico,04170400002,04,1704,00002,1245628800000,rafaeldias,s/n,,-8.62273861410805,41.1546875605682
10,11,RFIRM0,,226064489, ,Escola Secundária Soares dos Reis, ,02170400003,02,1704,00003,1245628800000,rafaeldias,49,,-8.601723443221706,41.1506035194859
11,12,RMDMA0,,225193460, ,Escola Secundária Oliveira Martins,No ano lectivo 2003/2004 teve também 3º ciclo do E. Básico,02170400004,02,1704,00004,1245628800000,rafaeldias,65,,-8.595999418463396,41.1586928442109
12,13,RNSCA0,,225360542,www.esec-cerco.rcts.pt,Escola Secundária Cerco do Porto,No ano lectivo 2003/2004 teve também 3º ciclo do E. Básico,03170400001,03,1704,00001,1245628800000,rafaeldias,357,,-8.569289125246028,41.164845191150064
